Arctic						北极
binary					由两部分组成的
bind				捆，束缚
binge				大吃大喝
biological				生物的
blame								责怪，自责
blame						责怪，自责
blast				爆炸，痛斥
bless							神佑，赋予，感激
block							方块，大楼，街区，阻碍
blow							吹，喘气，喷水，爆裂
boardwalk				木板人行道
bogus							假的
bond			建立友谊
boost							促进，宣传，增加
boot					靴子，解雇，猛踢，启动
botanist					植物学家
bother						打扰，使...不安，费事
bottle					瓶，勇气
bound				一定的
bow						弓，蝴蝶结，鞠躬，让步
bowl							碗，木球，使滚动
breakthrough					突破，突围
bride							新娘
broad					宽阔的，广泛的
broad			广的
broaden				扩大，增加
brutal				残忍的
buddy							哥们，志愿关爱者
budget					预算，便宜的
budget				预算，便宜的
bumpy						颠簸的
bun							圆面包
burden						重负，要旨，烦扰
bureau					社，局
bureau					社，局
burn				烧毁
burst					使破裂，冲破
buzz kill					扫兴的人或事
byword				典范，格言
calculate						计算，估计，计划
calculate on					指望
calendar				历法，日历
call for						要求
camouflage					伪装，保护色
campaign						战役，运动
campaign				战役，运动
campus				校园
cancel						取消
candidate						候选人
canteen						食堂，水壶，餐具柜
capable					能干的，可能的
capital			首都
captivity			囚禁
caregiver						看护人
careless					粗心的，不关心的
carpenter						木匠
carry							拿，运送，推进，具有
carve					雕刻，切开
casual						偶然的，随意的，临时工，便装
casualty				伤亡人数
catalogue						目录，一系列
catalyst		促进因素
cater								满足...的需要
cater							满足...的需要
caution						小心，警告
caution			小心
cautious					小心谨慎的
celebration				庆祝
celestial					天国的，天空的，精妙的
cemetery				墓地
census			调查，统计
century				一百年
ceremony						仪式，礼节
chain				链条，一系列
challenge						挑战
chap							使...皲裂，小伙子
character						性格，特性，字，名誉
character		性格，特性，字，名誉
characteristic					典型的，独特的，特征
characterize				描绘，是...的特征
charge					收取，指责，费用，主管
charity						慈善机构，慈爱
charity				慈善机构，慈爱
charm					魅力，吸引
chat							聊天
cheat							欺骗，侥幸逃脱，骗子
cheek						面颊，厚颜无耻
chef							厨师
chemical					化学制品，化学的
chief				领袖，首要的
chip				芯片，薯条
choke						掐住脖子，说不出话，塞住
chronic				慢性的
cinnamon					桂皮，浅黄褐色
circumstance					状况，形势
cite							引用，举例，嘉奖
cite					引用，举例，嘉奖
citizen						公民
civilian						平民，平民的
civilization					文明
civilized						文明的，有礼貌的
clan				宗族
classification					分类，类别
classification				分类，类别
classify						将...分类
claw					手，爪子，用爪子抓，拼命努力
client									委托人，客户
client							委托人，客户
climate					气候，氛围
clinic						诊所
clinical			临床的
clip				夹子，别针，夹住
closely				紧紧的，接近的
clout				重击，势力
clue							线索，想法
clumsy						笨拙的，粗劣的，不娴熟的
coach						长途汽车，车厢，教练，辅导
coast									海岸，滑行
cobweb		蜘蛛网
code							密码，规范
code			密码，规范
coerce		强迫
coffin		棺材
cognitive			认知的
collapse				倒塌，折叠
colleague					同事
collision					碰撞，冲突
colonial					殖民地的
coloured					彩色的，夸张的，混血种的
column						柱子，纵队，列
combination						混合体，组合
combination lock					密码锁
combine						混合，搭配，使结合
combine					混合，搭配，使结合
comets					彗星
commencement					开始
comment					评论，注解，批评，意见
commission			委员会，委托，使用中
commit						犯，使承诺，耗费，记下
commitment						承诺，责任感，花费
committee								委员会
committee						委员会
communicative				健谈的
compare						比较
compartment			车厢，隔间
compatible		可共存的，兼容的
compel						强迫，强求
compel respect					肃然起敬
compensate						赔偿，补偿
compensation					补偿
compete					竞争，比赛
competent						有能力的，足够的
competitiveness					竞争意识，竞争力
competitor				竞争者
complacency						自满
complain						抱怨，抗议
complaint						抱怨，抗议，疾病
complaint				抱怨，抗议，疾病
complement						补充的东西，足额，补充
complete						全部的，完整的，彻底的，完成的，完成
complete and utter				完完全全的
complex						复杂的，建筑群，情节
complicated					使复杂化
comply					服从，遵守
component						零件，组成的
comprehensive						全面的，综合性的，绝对的
concentrate				全神贯注的，聚集
concentration					专注，聚集，浓度
concept						概念
concern						担心，私事，公司，与...有关
concern				担心
conclude				结束，推断，决定
conclusion							结尾，结论
concrete						混凝土，具体的
condition			疾病
conduct			组织
confidence					信任，自信，秘密
confirm				证实，确认，巩固
conflict							冲突
conflict			冲突
conform						遵从，符合
conform to a stereotype			墨守陈规
confront							面对
confrontation					对抗，冲突
confuse				使迷惑
conjure					变魔术
conjure up					使...呈现于脑际
connectivity						连接
conscience						良心，内疚
consciousness					知觉，意识
consensus				一致意见
consent					同意
consequence					结果，重要性
consequence				结果，重要性
consequently				因此
conservation					保护，节约，守恒
conservative					保守的，传统的
conserve					节省，储存，保护
consider					考虑，顾及，认为，凝视
considerable					相当大的，著名的
considerably					相当多的
considerate						体贴的
consist						组成
consist in					存在于某事物
consist of					由某事物组成
consistent					一贯的，持续的，不变的
consistently			一贯的，不断的
console					安慰，控制面板
consolidation			巩固，加强
conspicuous						显眼的，显著的
conspiracy					阴谋
constant						持续的，不变的，常数
constantly					不断的，始终的，忠诚的
constellation				星座，一群
constitute					形成，成为
constraint			限制，强迫
construct						建造，创立，构思，结构
construction					建造，构思，装配，解释
construction					建造，构思，装配，解释
constructive						建设性的
consult					咨询，查阅，商量
consultant					顾问，医师
consume						吃，喝，耗尽，充满
consume					吃，喝，耗尽，充满
consumption			消耗，消费，接受
contact						接触，联系，通讯，熟人
contaminate					污染
contemporary					同时代的，当代的，同龄人
content					满意的，满足，内容
content				满意的，满足，内容
contest									比赛，辩驳
contest						比赛，辩驳
context						环境，上下文
continent			大陆
contract					合同，感染，收缩
contrast					差异，反面，反差，对比
contrast					差异，反面，反差，对比
contribute						捐献，提出，是原因之一
contribute				捐献，提出，是原因之一
contribution					作用，贡献，捐助
contribution					作用，贡献，捐助
convenient					方便的
conventional					传统的
conventional			传统的
convey						表达，传达，运送
convict						判决...有罪，囚犯
conviction				定罪，坚定信念
convince						说服
convincing						有说服力的
cooperative						合作的，合作机构
corkscrew				开塞钻，螺旋形的
corporate							全体的，公司的，联合的，企业集团
correlate			相关联
corruption				腐化堕落
council						议会
counsel						劝告，建议
counsel				劝告，建议
counseling						咨询，辅导
counsellor			顾问
county						郡，县
couple						夫妻，情侣，两个，连接
courageous					勇敢的
court					法庭
courtship			求爱期
cousin						堂兄
cousin twice removed					堂侄孙
cozy						舒适的，亲密的
crackdown						镇压
crash					碰撞，倒闭，死机
creativity						创造性
creature					动物，人，工具
crisis						危机
crisis				危机
crisp					松脆的，清新的，炸
critic						评论家，批评者
critic				评论家，批评者
critical						批评性的，关键的，评论家的
criticism						评论，批评
criticize					批评，评论
critter					动物
crop					作物，收成，剪短
cross						十字形，磨难，生气的，穿过
cross over			转投
crossing						横渡，道口
crucial				至关重要的
cruelty					残忍，暴行
cruise				乘船游览，巡行
crypt					教堂地下室
cub				幼兽
cuisine					烹饪，饭菜
cultivate						耕作，培养，建立
cultural					文化的
cunning					狡猾的，精巧的，狡猾
curator				馆长
curb							控制，限制
curiosity						好奇，珍稀物
curious						好奇的
current						当前的，流行的，电流，趋势
currently					当前
curriculum			课程
curse							咒语
cypress					柏树
dam						水坝
damp					潮湿的
dampen						使...潮湿，抑制
dangle					悬荡，用...诱惑
dank					阴湿的
deadline						最后期限
deadly						致命的，极度的
deal with			处理
debt							欠款，人情债
debut		首次亮相，出道
decade				十年
decent						正派的，得体的，像样的
decision				决定，判决，果断
decline						下降，恶化，婉拒
decline				下降，恶化，婉拒
decorate					装饰，颁授，装潢
decrease						减少
dedicate								献出
deem				认为
deepen						使...变深
default					拖欠，默认
define						给...下定义，阐明，界定
definition						释义，清楚
defy					反抗，激，使不可能
degree				度，学位，程度，等级
delay							推迟，延误，拖延
delegation						委托，代表团
deliberate						故意的，慎重的，仔细讨论，认真考虑
delight						愉快，使高兴
delightful						令人愉快的
deliver				递送，移交，发表，履行
delivery				发送
delivery rates			交货率
deluge						淹没，暴雨
demand						强求，需求
demand			强求，需求
dementia			痴呆
democratic						民主制度的
democratic				民主制度的
demonic					恶魔般的
demonstrate					示范操作，证明，表露
demonstration					示范操作，表达
density					密度
dent				凹痕，消减
dental				牙齿的，牙科的
denture				假牙
depart				出发，背离
departed				已故的
department					部门，科，系
depress					使沮丧，使萧条，按下
depressing						令人沮丧的
depression			忧郁
deprive							剥夺
deprive				剥夺
deracinate				迫使离开
derive							起源于...，获得，衍生
descend					走下，递减，突袭，起源，是后裔
describe			描述，形容
desert						抛弃，背离，沙漠
deserve				应得
designate						命名，指派
desire						渴望
desire				渴望
desperately				绝望的，极其
despite						尽管
dessert					甜点
destination								目的地
destruction						毁灭，摧毁
detail						细节，详情，特遣队
detailed						详细的，精细的
detect						查明，发现
detection					发现，侦查
detective						侦探
determination					决心
determine					查明，确定
devastate					摧毁
device						装置，电子设备，手法
devil							魔鬼，究竟，家伙，混蛋
devote						把...专用于，奉献
devote					把...专用于，奉献
diabolical						恶毒的
diameter						直径
dictate						口述，支配，命令
dictator						独裁者，权威
die off						相继死去
diet					节食，日常饮食
dignity					尊贵，高尚，自尊
dilemma						窘境
diligent							勤奋的，坚持不懈的
diminish			减少，削弱，贬低
diploma						毕业文凭
diplomacy			外交
diplomatic						外交的
dire					可怕的，急迫的
direct				直接的，指示
disadvantage					不利条件，不利地位
disadvantaged			贫穷的
disappear					消失
disappointing				令人失望的
disc						圆盘，椎间盘，唱片
discharge						解雇，流出，履行，出院
discount						折扣，不予考虑，贴现
discourage						使灰心，阻拦
discover					查明，发现
discrepancy				差异
discrimination					歧视，鉴赏力
discussion						讨论
dishonest						不诚实的
dishwasher						洗碗机，洗碗工
disillusionment			幻想破灭
disorderly						杂乱的，目无法纪的
disorientate				使迷失方向
dispel				驱散，消除
display				陈列，展品，表演，显示
dispute				争论
disrupt						使...中断，扰乱
disruption					中断，扰乱
disservice					损害
dissipate					驱散，消除，浪费
distance					距离，间隔，疏远
distant						远处的，冷淡的
distinct							清晰的，明显的，不同的
distinct					清晰的，明显的，不同的
distinctive						特别的
distinguish				区分，使得以区分
distinguish oneself			作为...而享有盛名
distinguish right from wrong	明辨是非
distinguished					优雅高贵的，著名的
distract						使...分心，给...以消遣
distracted						注意力分散的
distraction					分心，娱乐，精神错乱
distress						痛苦，危难
distress				痛苦，危难
distribute							分发，分散
district					区域
district				区域
diverse						多种多样的
diverse			多种多样的
diversity						多样性
diversity		多样性
divide							分，分配，分开，除
divination				占卜
divine						上帝的，神授的，极好的，猜到
division					分开，分配，除法，部门
dock				船坞，扣去
document					文件，记录，用文件证明
documentary			纪录片
dolphin						海豚
domestic						国内的，家里的
domestic				国内的，家里的
dominant						支配的，显眼的，首要的
domination						统治，主宰，控制
donate						捐赠
donation						捐赠物
doom							劫数，毁灭
dopamine			多巴胺
dormitory							宿舍
downfall						衰落，大阵雨
download				下载
downplay			对...轻描淡写
downsize						精简
downward	向下的，朝下的
dramatically					戏剧性的，突发惊人的
drape					悬挂，覆盖，窗帘
draw				画，吸引，拉
draw level with			与...拉平
dread						恐惧
drive up			提高
dropout					退学者
drought						旱灾
dub				把...称为
due						到期的，应有的，适当的，因为
due north					正北
dues						应缴款
dump						垃圾场，讨厌的地方，转存，倾倒，抛弃
durability					耐用，持久
durable						耐用的，耐用品
dust						灰尘，打扫，撒
eager									热切的，渴望的
ease							容易，轻松自在，减轻，小心的移动
eastern						东方的
easygoing						随和的
ecological				生态的
economist			经济学家
economy					节约，经济
ecosystem					生态系统
effect						结果，效果，实行
effect					结果，效果，实行
efficiently						效率高的
electrode			电极
elegant						优雅的，简明的
element						基本部分，因素，少量，恶劣天气
elephant						大象
eligible			有资格的，合意的
eliminate						排除，消除，淘汰
elite				精英
embarrass						使尴尬
embarrassed					尴尬的
embassy			大使馆
embrace					拥抱，包括，欣然接受
emerge							出现，摆脱
emerge						出现，摆脱
emergence						出现，形成
emergency							紧急情况
emission					排放物，排放
emission				排放物，排放
emit						散发，射出
emotional						情感的，沮丧的，冲动的
empathy						同感
emphasis			重视
emphasize						强调，重读
employee				雇员
empress				皇后
emptiness			空旷，无意义
enable						使有机会，使能够，激活
encase						包住
encompass				包含，围绕
encourage						鼓励，怂恿，促使
end up				最终
end-all and be-all			最重要的部分
endanger							危害，危及
endurance						忍耐力，耐用度
endure							忍耐，持续
endure						忍耐，持续
energetic				精力充沛的，断然的，有力的
engage							吸引，使参加，雇用，从事
engagement						订婚，约会，雇用，交战
engine						发动机
enhance						提高，改善，增加
enormous					庞大的
enrich						充实，使...富裕
enroll						注册，参加
enrollment						注册，注册人数
ensure						保证
entertain					使快乐，款待，怀有
entertaining					令人愉快的，款待
entertainment					娱乐，款待
entertainment			娱乐，款待
enthusiast				热衷者
entire				全部的，绝对的
entitle					使享有权利
entombed				埋葬
entrepreneur			企业家，创业者
epiphenomenon			附带现象
episode		事件
equal							相同的，平等的，等于
equality							平等
equitable			公正的
equivalence				相等
equivalent						相等物，相等的
equivalent					相等物，相等的
era						纪元，时代
err								犯错误
err on the side of caution		宁求稳妥
essay						短文，尝试
essential						完全必要的，本质的，必需品，基本要素
essentially						本质上，非常
essentially	本质上，非常
establish						创立，证实
establishment				创立，编制
establishment				创立，编制，企业
esteem				尊重
estimate						估计，评价
estimate				估计，评价
evacuate				撤出，抽空
evaluate						评价，评判
evaluation						评估
evaporate					蒸发，消失
eventually				最终
everlasting						永恒的
evidence						证据，证词，迹象，证明
evident						明显的
evil							邪恶的，邪恶
evolution						进化，演变
evolutionary					进化的，演变的
evolve						进化，逐步发展
exaggerate							夸大
examine						检查，调查
exceed				超过，超出
excellent						极好的，杰出的
excellent					极好的
exception						例外，异议
excess						过量，过多的
excesses						放肆的行为
excessive							过高的，过分的
excessive drinking					酗酒
exchange						交换，兑换，争吵
exclude						拒绝...参加，排除，开除
executive		经理
exhaust					使...精疲力竭
exhibit				展出，表现出
exhibition						展览，显露
exile							背井离乡者，流放
expand							扩大，增加
expatriate								移居国外的
expect				预计
expectation					预料，希望
expectation			预料，希望
experience					经验，经历
experience			经验，经历
expert						专家，熟练的
expert						专家，熟练的
explicitly					明确的，生动的
exploit					英雄业绩，开发，剥削
explore					勘查，探索
explore					勘查，探索
explosion						爆炸，激增，突然出现
expose				揭露，暴露
exposure							揭发，暴露，亮相
exposure			揭发，暴露，亮相
expressiveness					富有表情，意味深长
extend				扩建，延长
extension						延长部分，延期，扩大
extensive				大范围的
extensively				到处，大量的
extortion						敲诈勒索
extracurricular					课外的
extraordinary				非凡的
extravaganza				奢华的展示
extreme					极度的，极端的，极度，极端
facial					面部的，美容
facilitate					促进，加快
facilitate				促进，加快
facility						场所，特色服务，设施，便利，才能
factor			因素
fade					使...褪色，消失
failure					失败
fair								公正的，合理的，相当，晴天，美丽的
faith							信心，信任，信仰
fall					落下，发生，失守
familiar					熟悉的，常遇到的，放肆的
famine						饥荒
famously			著名的
fancy						想要，想象，高级的
fancy						想要，想象，高级的
fantasize						幻想
fascinate					迷住
fascination					入迷，吸引力
fatal							致命的，灾难性的
fate						命运，死亡
fatigue							疲劳，制服
fauna					动物群
favor								赞同，好处，善意行为，较喜欢，赐予
favorable						肯定的，赞同的，有利的，合适的
favourite						最喜欢的
feasibility						可行性
feasible							可行的，可能的
feather					羽毛，平行
feature						特征，方面，以...为特色，占据重要位置
feature						特征，方面，以...为特色，占据重要位置
federal			联邦制的
feed				喂，满足，给...提词
feedback						反馈
feral					野生的
festival					节日
fetch						接来，取来，收得，给以
fiction					小说，错觉，虚构的事
field					田地，运动场，战场，领域，场，接
figure						数字，人物，身材，插图，合乎情理，认为
figure out			想出，算出，弄明白
film				电影，拍摄
finance							资金，财政
finances							财力
financial							金融的
fine								罚款，极好的
fine				罚款，极好的
fingerprint					指纹
finicky				过分讲究的
fitness							健康，适合
fitting					恰当的，配件，试
flair					天赋，洞察力，魅力
flattering				奉承的，令人愉悦的
flaw					瑕疵，错误，毁掉
flee		逃跑
fleet						舰队，海军
fleeting					转瞬即逝的
flexibility						柔韧性，灵活性
flexible						柔韧的，可变通的
flock						畜群，群集
flood						洪水，大量，淹没
flora					植物群
floss				丝线，剔牙
flow							流动，循环，涌至，流畅，涨潮
folklore				民俗学
follow					跟随，继承
foothold						立足处
for the sake of		为了...起见
forage					草料，搜寻
forcibly						强行的
forefinger						食指
foreseeable					可预见的
forge					伪造，锻造，建立，稳步前进
formulate					构想，制定，创立，表达
fortunately					幸运的
fortune				运气，大笔财产
forum							公共集会场所，论坛
foundation						创建，地基，基础，根据
founder			创建者
fragment						碎片，片段，使...分开
frame							架构，身躯，画面，衬着
framework			构架
freak						畸形，怪人，怪事，反常的
frighten						使...惊恐
from time to time		不时的
frontier						边界，前沿
frontiersman					边疆居民
frown							皱眉
frustrate	使...沮丧
fuel				燃料，用作...的燃料
fully							完全的，充分的，整整
function					功能，职责，用途
function			功能，职责，用途
fund							基金，储备
fund							基金，储备
fundamental			基本的，全然的，根本的
fundamentally				基本的，根本的
furore				轰动，公愤
fuss							小题大做，争吵，烦恼
fuss over						过分关心
fuss with						摆弄
fussy							挑剔的，大惊小怪的
gallery					美术馆，瞭台，拍卖厅
gambling				赌博
gap							空白处，空缺，差异
garage							车库，加油站
gathering					采集，聚会，渐增的
gear							用具，设备，所有物，排档，使...适合于
gender						性别
gender				性别，性
generalization					概括，推论
generally			一般的，普遍的
generate						产生，生成，创造
generation						一代人，产生
generosity					慷慨
generous				慷慨的，丰厚的
gentle						温柔的，平缓的
genuine						真的，真诚的
geographic						地理的
geography			地理学，地形
gesture						手势，用动作示意
get along					进行，关系融洽，离开
getaway					逃跑，短假
giant				巨人，大公司
gift						礼物，天赋
gloomy						阴暗的，沮丧的
glorious						光荣的，壮丽的，极度的
go against								违背
go for a physical				去体检
go public						上市
go through the mill				饱经辛酸
gooey						黏糊糊的
gorgeous					令人愉快的，非常漂亮的
govern						统治，支配，决定
govern				统治，支配，决定
governing body			学校行政机构
governor			地方行政长官
grab					抓住，霸占，赶紧做，吸引
graft					移植，艰苦的工作，贿赂
grain								谷物，颗粒，少量，纹理
grainy				麻面的，粒状的
grant								准予，授予，承认，拨款
grapevine						葡萄藤
grapple					扭打，努力对付
grave							坟墓，严重的
grave					坟墓，严重的
greener pastures	更好的事物或地方
greenhouse				温室
grid								格栅，网格
grief							悲伤，麻烦
grievance				不平的事，委屈
grind						磨碎，压迫
grocery					杂货
groundless					无根据的
groundsheet						防潮布
grudge					积怨，嫉妒，勉强做
guarantee						保修单，保证
guideline						指导方针
guilt								有罪，内疚
gulf					海湾，鸿沟
gum							牙龈，树胶，口香糖
gym							体操馆
habitat						栖息地
handle							把手，理解，称呼，对待，应付，涉及
handle with care					小心搬运
hang					贴，悬挂，垂着，诀窍
hang out						伸出，消磨时间
happen to				发生于
happen to		发生
hardworking						努力工作的
harm						损害
harm				损害
harmful					有害的
harmony							和谐
harsh							严厉的，恶劣的，刺眼的
harvest						收割，结果
have to do with		与...有关
havoc				大破坏，大混乱
hazard							危险
hazard					危险
head for					朝...移动
headquarter					总部
heat				发情期
heavens					天堂，上帝，天空
heighten				加高，增强
hemisphere					半球体
herbivorous						食草的
herd						群，民众，放牧
heritage		遗产
hesitant			犹豫的
heyday						全盛期
highlight							最精彩的部分
highly					非常，高度赞许
hijack							劫持，把持
hike					远足，大幅度上升，拉起
hinder							妨碍，阻挡
hinder				妨碍，阻挡
hire							租用，雇用
hire					租用，雇用
historic						历史性的
hit						击，到达，遇到
hit		轰动一时的人物
hold accountable		追究责任
hole					洞，漏洞，短缺
hollow					中空的，凹陷的，虚伪的，山谷
homemaker						主妇
honesty						诚实，正直
honor						正义感，荣誉，荣幸，崇敬
honour						正义感，荣誉，荣幸，崇敬
honour						正义感，荣誉，荣幸，崇敬
hoodwink					欺诈
hook				勾住
horrific						令人恐惧的
hospitable						友好的，适宜的
hospitalize					送...入院治疗
household						家庭
hub							轮毂，中心
humanitarian					人道主义
humanity						人类，人道
humanity						人类，人道
humdrum				乏味的，单调
hut					小屋
hypothesis			假设，学说
iconic					标志性
ideal				理想的
identical						相同的
identifiable					可辨认的
identification					鉴定，认同
identify						辨认，认出，联系，认为...等同
identify oneself				自称，同情
identity						身份，特点，个性
ignorance					不知情，蒙昧
ignorant					不知情的，蒙昧的
ignore						忽视
illegal				非法的，犯规的
illumination				照明
illustrate					说明，举例说明
image							印象，图像，雕像，形象
imaginary					虚构的
imbibe		喝
imbue							使充满
imitate					仿效，模仿，复制
immeasurable					极大的
immobile						静止的
immortalize			使...千古留名
immunity			免疫力，豁免
impact						冲撞，影响
impact					冲撞，影响
impairment			损伤
impel							迫使，驱使
impermanent						临时的
implant				移植物，植入
implement						工具，实施
implement				工具，实施
implementation				实施，执行
implicate			被涉及，牵连
implication					暗示，可能的结果
imply							暗示，意味着
import						进口，含义，重要性
impose						强制执行，将...强加于人
impose				强制执行，将...强加于人
imprisonment			监禁
improper					不合时宜的，非法的，不正确的
in advance						预先
in effect						实质上
in no small measure				在很大程度上
in proportion					成等比的
in the lap of luxury				生活优裕
in view of							鉴于
inadequacy						不充足，缺点
inadequate						不充分的
inappropriate			不合适的
inbound					到达的
incentive						刺激，优惠
inch				少许，缓慢移动
incidence					发生，发生率
incline						弯下，使...倾向于，弯腰，倾向
include						包括
income				收入
incomparable				无与伦比的，完全不同的
inconsistent			反常的，不一致的
increasing					正在增加的
increasingly				越来越
incredible						难以置信的，美妙的
incredibly					极其，难以置信的
incubator			孵化器
indeed				确实
indefatigable			不知疲倦的
independently						独立的，客观公正的
indicate							表明，暗示
indicate			表明，暗示
indication			迹象
indifferent					漠不关心的，一般的
indigenous				当地的，土著的
indispensable					不可或缺的
individual					个人，个体
individual			个人，个体
induce						劝说，导致
indulgent					宽容的
industrialist				工业家
inequality				不平等
inequitable			不公平的
inevitable						必然发生的
inextricably				解不开的，分不开的
infinite							无限的，极大的
inflate							给...充气，夸大，使...上涨
inflation					通货膨胀，充气
influence				影响，势力，作用
influential					有影响力的
infrastructure		基础设施
ingredient					原料，因素
inhabitant				居民
inherent			与身俱来的
inherit				继承，接手
initially						起初
initially			起初
initiate					开始，使...加入，传授
initiative				主动性
initiative			主动性
injunction			禁制令，警告，命令
injure						使受伤
innocent					无罪的，无害的
innovate						改革
innovate	改革
innovation					革新
inquire					询问，打听
inquiry						询问，调查
